cartas_jugador,num_rivales,mano_preflop,flop,mano_flop,cartas_flop,turn,mano_turn,cartas_turn,river,mano_river,cartas_river,resultado
"['5♣', 'Q♥']",2,Carta Alta Offsuit,"['2♠', 'K♠', '10♠']",Carta Alta,"['5♣', 'Q♥', '2♠', 'K♠', '10♠']",['7♣'],Carta Alta,"['5♣', 'Q♥', 'K♠', '10♠', '7♣']",['J♠'],Carta Alta,"['Q♥', 'K♠', '10♠', '7♣', 'J♠']",Derrota
"['A♠', '6♠']",4,Carta Alta Suited,"['10♣', '10♦', '7♥']",Pareja,"['A♠', '6♠', '10♣', '10♦', '7♥']",['10♥'],Trío,"['A♠', '10♣', '10♦', '7♥', '10♥']",['5♣'],Trío,"['A♠', '10♣', '10♦', '7♥', '10♥']",Derrota
"['A♠', '10♦']",4,Carta Alta Offsuit,"['4♠', '6♥', 'K♥']",Carta Alta,"['A♠', '10♦', '4♠', '6♥', 'K♥']",['5♠'],Carta Alta,"['A♠', '10♦', '6♥', 'K♥', '5♠']",['7♦'],Carta Alta,"['A♠', '10♦', '6♥', 'K♥', '7♦']",Derrota
"['8♣', '5♣']",1,Carta Alta Suited,"['9♦', '3♦', 'A♦']",Carta Alta,"['8♣', '5♣', '9♦', '3♦', 'A♦']",['3♠'],Pareja,"['8♣', '9♦', '3♦', 'A♦', '3♠']",['9♠'],Doble Pareja,"['9♦', '3♦', 'A♦', '3♠', '9♠']",Derrota
"['6♣', '8♥']",2,Carta Alta Offsuit,"['4♠', '3♠', 'Q♥']",Carta Alta,"['6♣', '8♥', '4♠', '3♠', 'Q♥']",['K♣'],Carta Alta,"['6♣', '8♥', '4♠', 'Q♥', 'K♣']",['J♦'],Carta Alta,"['6♣', '8♥', 'Q♥', 'K♣', 'J♦']",Derrota
"['7♣', 'K♠']",1,Carta Alta Offsuit,"['6♥', '8♥', 'K♣']",Pareja,"['7♣', 'K♠', '6♥', '8♥', 'K♣']",['Q♦'],Pareja,"['7♣', 'K♠', '8♥', 'K♣', 'Q♦']",['5♣'],Pareja,"['7♣', 'K♠', '8♥', 'K♣', 'Q♦']",Victoria
"['10♦', '7♣']",7,Carta Alta Offsuit,"['K♦', '4♠', '8♥']",Carta Alta,"['10♦', '7♣', 'K♦', '4♠', '8♥']",['A♣'],Carta Alta,"['10♦', '7♣', 'K♦', '8♥', 'A♣']",['9♣'],Carta Alta,"['10♦', 'K♦', '8♥', 'A♣', '9♣']",Derrota
"['A♠', '9♥']",2,Carta Alta Offsuit,"['5♦', 'J♥', '3♥']",Carta Alta,"['A♠', '9♥', '5♦', 'J♥', '3♥']",['2♠'],Carta Alta,"['A♠', '9♥', '5♦', 'J♥', '3♥']",['J♣'],Pareja,"['A♠', '9♥', '5♦', 'J♥', 'J♣']",Victoria
"['10♠', 'K♣']",5,Carta Alta Offsuit,"['A♦', '4♣', '6♥']",Carta Alta,"['10♠', 'K♣', 'A♦', '4♣', '6♥']",['5♥'],Carta Alta,"['10♠', 'K♣', 'A♦', '6♥', '5♥']",['7♣'],Carta Alta,"['10♠', 'K♣', 'A♦', '6♥', '7♣']",Derrota
"['8♥', '2♣']",3,Carta Alta Offsuit,"['7♣', '4♦', '3♠']",Carta Alta,"['8♥', '2♣', '7♣', '4♦', '3♠']",['6♠'],Carta Alta,"['8♥', '7♣', '4♦', '3♠', '6♠']",['8♣'],Pareja,"['8♥', '7♣', '4♦', '6♠', '8♣']",Victoria
"['7♦', '2♥']",6,Carta Alta Offsuit,"['7♠', 'K♣', '3♦']",Pareja,"['7♦', '2♥', '7♠', 'K♣', '3♦']",['6♣'],Pareja,"['7♦', '7♠', 'K♣', '3♦', '6♣']",['Q♠'],Pareja,"['7♦', '7♠', 'K♣', '6♣', 'Q♠']",Derrota
"['A♥', 'J♣']",7,Carta Alta Offsuit,"['9♠', '10♠', '7♠']",Carta Alta,"['A♥', 'J♣', '9♠', '10♠', '7♠']",['3♠'],Carta Alta,"['A♥', 'J♣', '9♠', '10♠', '7♠']",['2♣'],Carta Alta,"['A♥', 'J♣', '9♠', '10♠', '7♠']",Derrota
"['10♥', 'Q♠']",4,Carta Alta Offsuit,"['K♥', 'A♣', '9♥']",Carta Alta,"['10♥', 'Q♠', 'K♥', 'A♣', '9♥']",['3♥'],Carta Alta,"['10♥', 'Q♠', 'K♥', 'A♣', '9♥']",['6♦'],Carta Alta,"['10♥', 'Q♠', 'K♥', 'A♣', '9♥']",Derrota
"['K♦', '2♦']",8,Carta Alta Suited,"['Q♠', 'A♥', '10♥']",Carta Alta,"['K♦', '2♦', 'Q♠', 'A♥', '10♥']",['3♠'],Carta Alta,"['K♦', 'Q♠', 'A♥', '10♥', '3♠']",['6♦'],Carta Alta,"['K♦', 'Q♠', 'A♥', '10♥', '6♦']",Derrota
"['K♣', 'A♠']",7,Carta Alta Offsuit,"['3♠', '6♠', '9♠']",Carta Alta,"['K♣', 'A♠', '3♠', '6♠', '9♠']",['J♠'],Color,"['A♠', '3♠', '6♠', '9♠', 'J♠']",['8♠'],Color,"['A♠', '6♠', '9♠', 'J♠', '8♠']",Victoria
"['Q♣', '7♠']",4,Carta Alta Offsuit,"['5♦', '6♥', '9♥']",Carta Alta,"['Q♣', '7♠', '5♦', '6♥', '9♥']",['A♠'],Carta Alta,"['Q♣', '7♠', '6♥', '9♥', 'A♠']",['9♠'],Pareja,"['Q♣', '7♠', '9♥', 'A♠', '9♠']",Derrota
"['5♥', '7♦']",3,Carta Alta Offsuit,"['9♥', '6♦', '5♣']",Pareja,"['5♥', '7♦', '9♥', '6♦', '5♣']",['10♥'],Pareja,"['5♥', '7♦', '9♥', '5♣', '10♥']",['10♠'],Doble Pareja,"['5♥', '9♥', '5♣', '10♥', '10♠']",Derrota
"['8♠', '4♠']",7,Carta Alta Suited,"['6♦', '5♦', '3♥']",Carta Alta,"['8♠', '4♠', '6♦', '5♦', '3♥']",['4♦'],Pareja,"['8♠', '4♠', '6♦', '5♦', '4♦']",['Q♣'],Pareja,"['8♠', '4♠', '6♦', '4♦', 'Q♣']",Derrota
"['A♦', 'A♣']",6,Pareja Offsuit,"['4♣', 'K♥', '5♠']",Pareja,"['A♦', 'A♣', '4♣', 'K♥', '5♠']",['8♠'],Pareja,"['A♦', 'A♣', 'K♥', '5♠', '8♠']",['8♣'],Doble Pareja,"['A♦', 'A♣', 'K♥', '8♠', '8♣']",Derrota
"['Q♣', 'K♦']",7,Carta Alta Offsuit,"['3♠', 'K♣', 'J♣']",Pareja,"['Q♣', 'K♦', '3♠', 'K♣', 'J♣']",['3♥'],Doble Pareja,"['Q♣', 'K♦', '3♠', 'K♣', '3♥']",['9♣'],Doble Pareja,"['Q♣', 'K♦', '3♠', 'K♣', '3♥']",Derrota
"['Q♠', '6♣']",8,Carta Alta Offsuit,"['2♦', 'K♠', 'J♠']",Carta Alta,"['Q♠', '6♣', '2♦', 'K♠', 'J♠']",['A♣'],Carta Alta,"['Q♠', '6♣', 'K♠', 'J♠', 'A♣']",['7♣'],Carta Alta,"['Q♠', 'K♠', 'J♠', 'A♣', '7♣']",Derrota
"['3♥', '10♣']",7,Carta Alta Offsuit,"['Q♣', '6♣', '5♥']",Carta Alta,"['3♥', '10♣', 'Q♣', '6♣', '5♥']",['K♣'],Carta Alta,"['10♣', 'Q♣', '6♣', '5♥', 'K♣']",['8♦'],Carta Alta,"['10♣', 'Q♣', '6♣', 'K♣', '8♦']",Derrota
"['6♣', '8♥']",2,Carta Alta Offsuit,"['Q♠', 'K♠', '7♠']",Carta Alta,"['6♣', '8♥', 'Q♠', 'K♠', '7♠']",['6♦'],Pareja,"['6♣', '8♥', 'Q♠', 'K♠', '6♦']",['8♠'],Doble Pareja,"['6♣', '8♥', 'K♠', '6♦', '8♠']",Derrota
"['5♦', '8♦']",4,Carta Alta Suited,"['10♠', 'A♠', '7♣']",Carta Alta,"['5♦', '8♦', '10♠', 'A♠', '7♣']",['4♣'],Carta Alta,"['5♦', '8♦', '10♠', 'A♠', '7♣']",['9♥'],Carta Alta,"['8♦', '10♠', 'A♠', '7♣', '9♥']",Derrota
"['8♠', 'Q♦']",8,Carta Alta Offsuit,"['K♥', '2♠', '10♦']",Carta Alta,"['8♠', 'Q♦', 'K♥', '2♠', '10♦']",['K♣'],Pareja,"['8♠', 'Q♦', 'K♥', '10♦', 'K♣']",['A♣'],Pareja,"['Q♦', 'K♥', '10♦', 'K♣', 'A♣']",Derrota
"['6♦', '4♠']",6,Carta Alta Offsuit,"['2♠', '8♣', '7♥']",Carta Alta,"['6♦', '4♠', '2♠', '8♣', '7♥']",['6♣'],Pareja,"['6♦', '4♠', '8♣', '7♥', '6♣']",['Q♠'],Pareja,"['6♦', '8♣', '7♥', '6♣', 'Q♠']",Derrota
"['2♥', '9♦']",5,Carta Alta Offsuit,"['8♣', '5♠', '8♦']",Pareja,"['2♥', '9♦', '8♣', '5♠', '8♦']",['10♥'],Pareja,"['9♦', '8♣', '5♠', '8♦', '10♥']",['Q♠'],Pareja,"['9♦', '8♣', '8♦', '10♥', 'Q♠']",Derrota
"['5♠', '4♦']",8,Carta Alta Offsuit,"['3♦', 'A♥', '4♥']",Pareja,"['5♠', '4♦', '3♦', 'A♥', '4♥']",['J♦'],Pareja,"['5♠', '4♦', 'A♥', '4♥', 'J♦']",['8♠'],Pareja,"['4♦', 'A♥', '4♥', 'J♦', '8♠']",Derrota
